iter	Logloss
0	0.628674479
1	0.5760837877
2	0.5329716347
3	0.4965803678
4	0.4657336768
5	0.4397962763
6	0.4169438084
7	0.3975009216
8	0.3811578986
9	0.3674218069
10	0.3550816011
11	0.3447579533
12	0.3357557773
13	0.3279245109
14	0.3211625055
15	0.3154835206
16	0.3105290925
17	0.3065906217
18	0.3029602872
19	0.2996432856
20	0.2968570269
21	0.294525034
22	0.2925775321
23	0.2907165555
24	0.2892310253
25	0.2877834593
26	0.2866983562
27	0.2857950462
28	0.2849153087
29	0.2841871203
30	0.2835389832
31	0.2829361712
32	0.2824978837
33	0.2821661503
34	0.2818227657
35	0.281527516
36	0.2812150616
37	0.2809563407
38	0.2807241355
39	0.2805625541
40	0.2803474705
41	0.280064202
42	0.2798505874
43	0.2796885962
44	0.2794984193
45	0.2793784233
46	0.2792189004
47	0.2791107979
48	0.2789657632
49	0.2788687007
